# A full data dictionary for the 100 gene expression variables in CCLEdataset$Xtarget 
# This dictionary describes the 100 gene expression variables in `Xtarget`, a 28 × 100 matrix for KRAS-mutant NSCLC cell lines. All variables are of numeric type. Each column corresponds to a gene symbol with its NCBI gene ID and a brief description.

Gene	Variable Type	Min	Max	Mean	Description
AKR1C2 (1646)	Numeric	0.263034405833794	11.753216749179	4.86569378304562	Aldo-keto reductase involved in steroid metabolism.
SPP1 (6696)	Numeric	0.367371065648529	12.4914272380715	4.36855402867035	Osteopontin, involved in immune responses and cell adhesion.
S100P (6286)	Numeric	0.7311832415722	12.3369528001605	5.50844482760646	Calcium-binding protein associated with tumor progression.
XAGE1A (653220)	Numeric	0.0	10.8670470248968	5.37891307222174	Cancer/testis antigen, potential biomarker in lung cancers.
AKR1B10 (57016)	Numeric	0.16349873228288	11.7844712654178	4.23850093376545	Detoxifies aldehydes, overexpressed in liver and tumors.
AKR1C1 (1645)	Numeric	0.333423733725192	11.3287310185797	5.32189360122716	Enzyme involved in progesterone metabolism.
S100A9 (6280)	Numeric	0.0	11.6964459759337	3.38959683892389	Involved in inflammation and cancer-associated myeloid cells.
KRT81 (3887)	Numeric	0.321928094887362	11.5988434386562	4.22516463649917	Hair keratin protein found in follicular tissue.
ALDH3A1 (218)	Numeric	0.176322772640463	11.2450772753597	4.06643458517283	Aldehyde dehydrogenase protecting from oxidative stress.
UCHL1 (7345)	Numeric	0.389566811762726	10.9240701855853	5.86897250943362	Ubiquitin-processing enzyme highly expressed in neurons.
CXCL5 (6374)	Numeric	0.01435529297707	12.5924103171126	2.34572091380722	Chemokine that attracts neutrophils, involved in inflammation.
GPX2 (2877)	Numeric	0.321928094887362	10.4152135987653	2.9899256552433	Glutathione peroxidase protecting against oxidative damage.
VIM (7431)	Numeric	1.28688114778816	11.9749164341859	7.86665438064732	Vimentin, key marker of epithelial-mesenchymal transition (EMT).
MT1E (4493)	Numeric	0.111031312388744	8.92157319562621	5.01787386436138	Metal-binding protein protecting against toxicity.
S100A14 (57402)	Numeric	0.286881147788161	10.0590740146636	3.79908641368217	Regulates cell proliferation and differentiation.
AKR1C3 (8644)	Numeric	0.485426827170242	11.3638609767295	5.58963952401561	Involved in steroid and prostaglandin metabolism.
AGR2 (10551)	Numeric	0.411426245726465	11.9150203761067	4.79342110904331	Disulfide isomerase implicated in cancer metastasis.
SRGN (5552)	Numeric	0.111031312388744	9.54511893000944	4.07349580128713	Serglycin, regulates secretory granule formation in immune cells.
LCN2 (3934)	Numeric	0.16349873228288	12.4306877545094	3.84806604049619	Lipocalin-2 involved in iron transport and inflammation.
XAGE1B (653067)	Numeric	0.0	8.59092382656697	4.00971967611747	Tumor-associated antigen with restricted normal tissue expression.
RAB25 (57111)	Numeric	0.0840642647884745	7.86820522697744	3.38831308668685	Small GTPase involved in epithelial cell polarity.
CYP24A1 (1591)	Numeric	0.0	10.2719298439709	4.07646451375481	Enzyme that deactivates vitamin D metabolites.
NNMT (4837)	Numeric	0.20163386116965	10.2686589550277	4.19728056653406	Nicotinamide N-methyltransferase, modulates cell metabolism.
TFPI2 (7980)	Numeric	0.411426245726465	11.7801296196253	5.37334311736315	Protease inhibitor involved in ECM regulation.
RPS4Y1 (6192)	Numeric	0.214124805352847	10.4069490187912	2.075789584165	Ribosomal protein gene located on the Y chromosome.
KRT19 (3880)	Numeric	1.35614381022528	11.049576317156	7.436882244127	Keratin 19, epithelial marker often used in cancer diagnostics.
SLPI (6590)	Numeric	0.263034405833794	10.2524289056785	4.31855597694721	Serine protease inhibitor active in inflammation and wound healing.
BST2 (684)	Numeric	0.286881147788161	10.1306992542145	4.69302191416425	Tetherin, involved in viral restriction.
KRT7 (3855)	Numeric	1.68706068833989	11.753927055627	8.22887190682294	Keratin 7, marker of simple epithelia.
